Sabrina,Comedy,Drama,Romance
Rushmore,Comedy,Drama,Romance
Tenki no ko,Animation,Drama,Fantasy
The Nutty Professor,Comedy,Romance,Sci-Fi
The Royal Treatment,Comedy,Family,Romance
Second Act,Comedy,Drama,Romance
The Map of Tiny Perfect Things,Comedy,Fantasy,Romance
Summertime,Comedy,Drama,Romance
Revenge,Action,Crime,Drama
Wild Child,Comedy,Drama,Romance
Color of Night,Drama,Mystery,Romance
Sealed Cargo,Drama,Romance,War
Mr. Right,Action,Comedy,Romance
Lucas,Comedy,Drama,Romance
Bubble Boy,Adventure,Comedy,Romance
Strictly Ballroom,Comedy,Drama,Music
Corpse Bride,Animation,Drama,Family
Aloha,Comedy,Drama,Romance
The Love Witch,Comedy,Horror,Romance
The Aftermath,Drama,Romance,War
Step Up All In,Drama,Music,Romance
Beautiful Girls,Comedy,Drama,Romance
The Great Race,Action,Adventure,Comedy
Much Ado About Nothing,Comedy,Drama,Romance
Valley of the Dolls,Drama,Music,Romance
Harold and Maude,Comedy,Drama,Romance
Bedtime Stories,Adventure,Comedy,Family
Rumble Fish,Crime,Drama,Romance
Diary of a Spy,Drama,Mystery,Romance
Crazy Heart,Drama,Music,Romance
Zoolander 2,Action,Adventure,Comedy
No Way Out,Action,Crime,Drama
Dinner in America,Comedy,Drama,Music
Mermaids,Comedy,Drama,Romance
Pompeii,Action,Adventure,Drama
Son in Law,Comedy,Drama,Romance
Notes on a Scandal,Crime,Drama,Romance
Purple Rain,Drama,Music,Romance
The Time Machine,Adventure,Romance,Sci-Fi
Bubble,Animation,Action,Adventure
Kaze tachinu,Animation,Biography,Drama
The Shootist,Drama,Romance,Western
Trois couleurs: Bleu,Drama,Music,Mystery
Adventureland,Comedy,Drama,Romance
Return to Me,Comedy,Drama,Romance
Wild Mountain Thyme,Comedy,Drama,Romance
Cinderella Man,Biography,Drama,Romance
Judy,Biography,Drama,Romance
Julie &amp; Julia,Biography,Drama,Romance
Date Night,Comedy,Crime,Romance
Bewitched,Comedy,Fantasy,Romance
Song to Song,Drama,Music,Romance
Bend It Like Beckham,Comedy,Drama,Romance
Hollywood Stargirl,Comedy,Drama,Family
Tall Girl,Comedy,Drama,Family
Step Up 3D,Drama,Music,Romance
Gaslight,Crime,Drama,Mystery
Tolkien,Biography,Drama,Romance
Summerland,Drama,Romance,War
"Hello, My Name Is Doris",Comedy,Drama,Romance
Uptown Girls,Comedy,Drama,Romance
Rumor Has It...,Comedy,Drama,Romance
Deseo,Comedy,Drama,Romance
Ten Inch Hero,Comedy,Drama,Romance
Sleeping Beauty,Animation,Adventure,Family
Solaris,Drama,Mystery,Romance
The Pride of the Yankees,Biography,Drama,Romance
Queen &amp; Slim,Crime,Drama,Romance
The Art of Racing in the Rain,Comedy,Drama,Romance
En man som heter Ove,Comedy,Drama,Romance
The Postman Always Rings Twice,Crime,Drama,Romance
Support Your Local Gunfighter,Comedy,Romance,Western
Beast,Crime,Drama,Mystery
Cinderella,Animation,Family,Fantasy
Thelma,Drama,Fantasy,Horror
After Everything,Comedy,Drama,Romance
To All the Boys: Always and Forever,Comedy,Drama,Romance
A Night at the Roxbury,Comedy,Music,Romance
Bolero,Comedy,Drama,Romance
Hair,Comedy,Drama,Musical
50/50,Comedy,Drama,Romance
Crossroads,Comedy,Drama,Romance
Urban Cowboy,Drama,Romance,Western
This Means War,Action,Comedy,Romance
Átame!,Comedy,Crime,Drama
Girl with a Pearl Earring,Biography,Drama,Romance
The Switch,Comedy,Drama,Romance
Lust och fägring stor,Drama,Romance,War
Flushed Away,Animation,Action,Adventure
The American President,Comedy,Drama,Romance
Ich war noch niemals in New York,Comedy,Drama,Family
Addicted,Drama,Romance,Thriller
Sotto il sole di Riccione,Comedy,Drama,Romance
Six Days Seven Nights,Action,Adventure,Comedy
Driving Miss Daisy,Comedy,Drama,Romance
"Definitely, Maybe",Comedy,Drama,Romance
Eiffel,Biography,Drama,History
Seven Brides for Seven Brothers,Comedy,Drama,Musical
Staying Alive,Drama,Music,Romance
You Get Me,Crime,Drama,Romance
Frances Ha,Comedy,Drama,Romance
Entrapment,Action,Crime,Romance
The Bounty Hunter,Action,Comedy,Romance
Kiss of Death,Crime,Drama,Film-Noir
Frances,Biography,Drama,Romance
The Maltese Falcon,Crime,Film-Noir,Mystery
The Music Man,Comedy,Family,Musical
The Legend of Zorro,Action,Adventure,Romance
Monsters,Adventure,Drama,Romance
The Program,Action,Drama,Romance
Fast &amp; Feel Love,Action,Comedy,Drama
Stars Fell on Alabama,Comedy,Drama,Romance
The Five-Year Engagement,Comedy,Drama,Romance
Class,Comedy,Drama,Romance
A Star Is Born,Drama,Music,Romance
Paterson,Comedy,Drama,Romance
The Wraith,Action,Horror,Romance
Puss in Boots,Animation,Adventure,Comedy
About a Boy,Comedy,Drama,Romance
Ne le dis à personne,Crime,Drama,Mystery
Casanova,Adventure,Comedy,Drama
Ophelia,Drama,Romance,Thriller
Serious Moonlight,Comedy,Crime,Romance
Wolves,Action,Fantasy,Horror
Tulip Fever,Drama,History,Romance
Gentlemen Prefer Blondes,Comedy,Musical,Romance
Stuck in Love,Comedy,Drama,Romance
Skin,Biography,Crime,Drama
Sleeping with Other People,Comedy,Drama,Romance
I Still Believe,Biography,Drama,Music
Stargirl,Comedy,Drama,Family
Stranger Than Fiction,Comedy,Drama,Fantasy
Step Up Revolution,Drama,Music,Romance
The Misfits,Drama,Romance,Western
Swan Song,Drama,Romance,Sci-Fi
To All the Boys: P.S. I Still Love You,Comedy,Drama,Romance
Enough Said,Comedy,Drama,Romance
Imagine Me &amp; You,Comedy,Drama,Romance
Athena,Musical,Romance,Comedy
Anthropoid,Action,Biography,Drama
Wolf,Drama,Horror,Romance
Dan in Real Life,Comedy,Drama,Romance
Virgin Territory,Adventure,Comedy,History
An American in Paris,Drama,Musical,Romance
The Old Man &amp; the Gun,Biography,Comedy,Crime
Mansfield Park,Comedy,Drama,Romance
Hairspray,Comedy,Drama,Family
The Cutting Edge,Comedy,Drama,Romance
Obsessed,Drama,Romance,Thriller
The Artist,Comedy,Drama,Romance
Love &amp; Basketball,Drama,Romance,Sport
Kiss the Bride,Comedy,Drama,Romance
From Here to Eternity,Drama,Romance,War
Lady and the Tramp,Animation,Adventure,Comedy
Dangerous,Action,Romance,Thriller
Book Club,Comedy,Drama,Romance
A Madea Homecoming,Comedy,Drama,Romance
Manhattan,Comedy,Drama,Romance
Kaboom,Comedy,Mystery,Romance
Modern Times,Comedy,Drama,Romance
On the Road,Adventure,Drama,Romance
Bobbie Jo and the Outlaw,Crime,Drama,Romance
Red Riding Hood,Fantasy,Horror,Mystery
The Thomas Crown Affair,Crime,Romance,Thriller
What to Expect When You're Expecting,Comedy,Drama,Romance
Grosse Pointe Blank,Action,Comedy,Crime
Save the Last Dance,Drama,Music,Romance
Fools Rush In,Comedy,Drama,Romance
The Rules of Attraction,Comedy,Drama,Romance
Letters to Juliet,Adventure,Comedy,Drama
Home Again,Comedy,Drama,Romance
City of Angels,Drama,Fantasy,Romance
The Pink Panther,Comedy,Crime,Romance
She's Having a Baby,Comedy,Drama,Romance
Man Up,Comedy,Drama,Romance
Monte Carlo,Adventure,Comedy,Family
Kimi no suizô o tabetai,Animation,Drama,Family
Text for You,Comedy,Drama,Romance
Stars at Noon,Drama,Romance,Thriller
The Darkest Minds,Action,Adventure,Drama
Wicker Park,Drama,Mystery,Romance
